parcel,permit_count,distinct_types,top_type,total_valuation,first_permit,last_permit,address,lat,lon
A01 20320 0033,1,1,Residential Electrical Permit,0,2026-01-14,2026-01-14,"319 ILLINOIS AVE, DAYTON OH 45410-2037 United States",39.7411343994622,-84.16341583363833
A01 20321 0022,1,1,Residential Electrical Permit,0,2026-04-07,2026-04-07,"2122 DELLA DR, DAYTON OH",,
A01 20322 0078,1,1,Commercial Electrical Permit,0,2026-05-08,2026-05-08,"1828 W Stewart ST, DAYTON OH 45417-3741",39.74159504551482,-84.22822408841644
A01 20324 0058,1,1,Commercial Building Permit,0,2026-05-11,2026-05-11,"131 Ludlow ST N, 315, DAYTON OH",,
A01 20327 0014,1,1,Residential Mechanical Permit,0,2026-06-09,2026-06-09,"231 N CHERRYWOOD AVE, DAYTON OH 45403-1605 United States",39.77113039154547,-84.13981139537056
A01 21309 0018,3,2,Residential Electrical Permit,17600,2026-03-09,2026-04-29,"4817 Avocet Ct, DAYTON OH 45424",39.823106614125905,-84.11278714121327
A01 21315 0004,1,1,Residential Electrical Permit,0,2026-06-25,2026-06-25,"1718 DARST AVE, DAYTON OH 45403-3104 United States",39.75818051328376,-84.1351628612106
A01 25901 0007,1,1,Residential Mechanical Permit,0,2026-03-16,2026-03-16,"1612 W First St, Dayton OH 45402",39.75651740175978,-84.2216796901008
A01 25902 0011,2,2,Residential Electrical Permit,0,2026-02-23,2026-06-24,"15 VALLEY VIEW DR, DAYTON OH 45405-3242 United States",39.785360941585225,-84.21883709583246
A01 25911 0003,1,1,Residential Electrical Permit,0,2026-04-08,2026-04-08,"1238 EVERETT DR, DAYTON OH 45402-5603 United States",39.770357024024094,-84.2303074304434
A01 25917 0002,1,1,Residential Mechanical Permit,0,2026-06-30,2026-06-30,"901 DEVONSHIRE RD, DAYTON OH 45419-3607 United States",39.72171737199846,-84.15964579717657
A01 25918 0019,1,1,Residential Electrical Permit,0,2026-04-24,2026-04-24,"27 DAVIS AVE, DAYTON OH 45403-2901 United States",39.757809251279035,-84.15673732943002
A01 25923 0034,2,2,Residential Building Permit,10164,2026-01-29,2026-02-12,"500 NIAGARA AVE, DAYTON OH 45405-3742 United States",39.77978329669574,-84.21839202478887
A01 25925 0002,1,1,Commercial Electrical Permit,0,2026-03-04,2026-03-04,"444 W THIRD ST, DAYTON OH 45402-1421 United States",39.757621145508864,-84.20058764501195
A01 26002 0001,1,1,Residential Electrical Permit,0,2026-03-09,2026-03-09,"1425 CANFIELD AVE, DAYTON OH 45406-4206 United States",39.77324421133426,-84.23947800905741
A01 26002 0029,1,1,Residential Mechanical Permit,0,2026-01-23,2026-01-23,"4382 WEEPING WILLOW DR, DAYTON OH 45404 United States",,
A01 26003 0002,1,1,Residential Mechanical Permit,0,2026-03-30,2026-03-30,"1329 W First ST, DAYTON OH 45402",39.75776732476367,-84.21558853568928
A01 26003 0019,1,1,Residential Mechanical Permit,0,2026-02-11,2026-02-11,"2811 Argella AVE, DAYTON OH 45410-3106",39.74649447273503,-84.14104227771853
A01 26009 0014,1,1,Residential Mechanical Permit,0,2026-03-24,2026-03-24,"203 KLEE AVE, DAYTON OH 45403-2935 United States",39.755940372624465,-84.14999471793884
A01 26010 0024,1,1,Residential Mechanical Permit,0,2026-06-10,2026-06-10,"1100 N MAIN ST, DAYTON OH 45405-4214 United States",39.774641631264394,-84.1993163823494
A01 26011 0008,1,1,Residential Mechanical Permit,0,2026-05-12,2026-05-12,"1724 BARTLEY RD, DAYTON OH 45414",39.82822717939078,-84.20392569485801
A01 26011 0009,1,1,Residential Electrical Permit,0,2026-05-08,2026-05-08,"525 IRVING AVE, DAYTON OH 45409-2442 United States",39.73467286911134,-84.17308440757411
A01 26018 0005,1,1,Residential Mechanical Permit,0,2026-05-28,2026-05-28,"431 W FAIRVIEW AVE, DAYTON OH 45405-3308 United States",39.78566927360241,-84.21976870458946
A01 26102 0006,1,1,Residential Electrical Permit,0,2026-01-08,2026-01-08,"43 CLOVER ST, DAYTON OH 45410-1419 United States",39.749868976159085,-84.17648709515525
A01 26116 0014,1,1,Residential Building Permit,22766,2026-05-18,2026-05-18,"1830 MALVERN AVE, DAYTON OH 45406-4447 United States",39.78192171011745,-84.22880818080236
A01 26118 0004,1,1,Residential Mechanical Permit,0,2026-02-24,2026-02-24,"155 BELLAIRE AVE, DAYTON OH 45420-1705 United States",39.72984504614438,-84.15363378328401
A01 27608 0011,1,1,Commercial Electrical Permit,0,2026-02-26,2026-02-26,"126 XENIA AVE, DAYTON OH 45410-1538 United States",39.752322654027125,-84.17441868103231
A01 27612 0009,2,1,Residential Gas Permit,0,2026-01-20,2026-02-23,"1813 KIPLING DR, DAYTON OH 45406-3917 United States",39.7814817039959,-84.2427977038937
A01 27613 0007,1,1,Residential Mechanical Permit,0,2026-04-15,2026-04-15,"52 BISH AVE, DAYTON OH 45417-2123 United States",39.750863288256554,-84.23575698731072
A01 27616 0015,2,2,Residential Electrical Permit,0,2026-01-21,2026-03-04,"1119 WINDSOR AVE, DAYTON OH 45402-5717 United States",39.7684608534492,-84.22837099293574
A01 27617 0002,1,1,Commercial Mechanical Permit,0,2026-06-02,2026-06-02,"40 S Main ST, DAYTON OH 45402",39.75858596717528,-84.19123324009236
A01 27621 0006,1,1,Residential Mechanical Permit,0,2026-03-25,2026-03-25,"400 BURLEIGH AVE, DAYTON OH 45417-1634 United States",39.75645276840241,-84.24578980415247
A01 27622 0013,1,1,Residential Mechanical Permit,0,2026-04-23,2026-04-23,"329 KLING DR, DAYTON OH 45419-4002 United States",39.73136074543662,-84.16157520423602
A01 50515 0009,1,1,Residential Building Permit,34155,2026-04-20,2026-04-20,"112 S DUTOIT ST, DAYTON OH 45402",39.76109495834675,-84.17409950014863
C04 00601 0128,1,1,Commercial Building Permit,0,2026-04-28,2026-04-28,"1 SPRINGFIELD ST, DAYTON OH 45403 United States",39.76404953302457,-84.16582013220543
C04 00607 0023,1,1,Residential Mechanical Permit,0,2026-02-18,2026-02-18,"730 GREENLAWN AVE, DAYTON OH 45403-3332 United States",39.753458113317635,-84.14219520777483
C05 00102 0041,1,1,Commercial Electrical Permit,0,2026-02-03,2026-02-03,"1431 ROSEMONT BLVD, APT/UNIT D, DAYTON OH 45410-3120 United States",39.74723092136431,-84.14178523862037
C05 00103 0006,1,1,Commercial Electrical Permit,0,2026-01-20,2026-01-20,"617 N IRWIN ST, DAYTON OH 45403",39.772772352057665,-84.1534713361225
C05 00104 0005,1,1,Residential Electrical Permit,0,2026-01-20,2026-01-20,"113 LAURA AVE, DAYTON OH 45405-3103 United States",39.7886414530958,-84.20994042288041
C05 00109 0041,1,1,Residential Building Permit,10000,2026-04-27,2026-04-27,"59 BALTIMORE ST, DAYTON OH 45404-1950 United States",39.77703819234722,-84.17113757595492
C05 00109 0047,1,1,Residential Electrical Permit,0,2026-03-23,2026-03-23,"404 KNECHT DR, DAYTON OH 45405-2634 United States",39.794654508605035,-84.20807693149587
C05 00109 0075,1,1,Residential Building Permit,25915,2026-03-02,2026-03-02,"4214 WEEPING WILLOW DR, DAYTON OH 45404 United States",,
C05 00109 0105,1,1,Residential Electrical Permit,0,2026-02-27,2026-02-27,"265 AIR ST, DAYTON OH 45404-1805 United States",39.77404712910622,-84.17254614921002
C05 00109 0123,3,3,Residential Building Permit,161048,2026-02-10,2026-04-22,"1928 WARD HILL AVE, DAYTON OH 45420-3159 United States",39.73803065351642,-84.13368367972768
C05 00112 0007,2,2,Residential Building Permit,40000,2026-03-19,2026-06-26,"309 ASHWOOD AVE, DAYTON OH 45405-2522 United States",39.79782701110228,-84.20988116786751
C05 00204 0019,1,1,Residential Electrical Permit,0,2026-04-13,2026-04-13,"2928 HOOVER AVE, DAYTON OH 45402-5539 United States",39.76139741431494,-84.23974798770641
C05 00205 0065,1,1,Residential Mechanical Permit,0,2026-03-27,2026-03-27,"1604 W FIRST ST, DAYTON OH",39.75657025509236,-84.22140846664067
C05 00208 0008,1,1,Residential Mechanical Permit,0,2026-03-17,2026-03-17,"514 OSTRANDER DR, DAYTON OH 45403-3221 United States",39.75746814654103,-84.12895249241056
C05 00214 0025,1,1,Residential Electrical Permit,0,2026-04-06,2026-04-06,"2419 FAUVER AVE, DAYTON OH 45420-2315 United States",39.73133766012459,-84.14339177134538
C05 00314 0079,4,4,Residential Building Permit,611000,2026-01-16,2026-03-09,"2024 RUSTIC RD, DAYTON OH 45405-3233 United States",39.78460313471141,-84.2216891338089
C05 00314 0083,3,3,Residential Electrical Permit,0,2026-01-16,2026-02-24,"4256 WEEPING WILLOW DR, DAYTON OH 45404 United States",39.78694241862034,-84.24303043274895
C05 00315 0015,1,1,Residential Electrical Permit,0,2026-03-25,2026-03-25,"3909 NECCO AVE, DAYTON OH 45406-3557 United States",39.77927369306273,-84.2518314780414
C05 00317 0042,1,1,Residential Electrical Permit,0,2026-06-04,2026-06-04,"2650 FERNCLIFF AVE, APT/UNIT A, DAYTON OH 45420-3371 United States",39.72761585027152,-84.13033882377046
C05 00409 0023,1,1,Residential Electrical Permit,0,2026-02-25,2026-02-25,"4322 WEEPING WILLOW DR, DAYTON OH 45404",,
C05 00412 0004,1,1,Commercial Building Permit,0,2026-01-30,2026-01-30,"1043 S MAIN ST, DAYTON OH 45409-2710 United States",39.74346322337277,-84.1877291441674
C05 00415 0011,1,1,Commercial Electrical Permit,0,2026-02-03,2026-02-03,"1592 Woodman DR, UNIT 12, DAYTON OH 45432-3332",39.73442797690803,-84.12126580716134
C05 00416 0001,1,1,Residential Mechanical Permit,0,2026-05-22,2026-05-22,"747 HECK AVE, DAYTON OH 45417-4640 United States",39.73735414013277,-84.20793893599702
C05 00422 0002,1,1,Commercial Building Permit,0,2026-04-08,2026-04-08,"23 W FIRST ST, DAYTON OH 45402 United States",39.76226631666903,-84.19363516034633
C05 00423 0002,2,2,Residential Electrical Permit,0,2026-04-29,2026-05-22,"1320 W FIRST ST, DAYTON OH 45402 United States",39.7575776617895,-84.2152175848645
C05 00513 0018,1,1,Commercial Electrical Permit,0,2026-01-21,2026-01-21,"721 Springfield ST, DAYTON OH 45403-1250",39.770494450848574,-84.15494730139511
C05 00605 0030,1,1,Residential Mechanical Permit,0,2026-02-10,2026-02-10,DAYTON OH,,
C05 00626 0045,1,1,Residential Electrical Permit,0,2026-03-03,2026-03-03,"937 W THIRD ST, DAYTON OH 45402 United States",,
C06 00401 0051,1,1,Residential Electrical Permit,0,2026-05-04,2026-05-04,"4529 BULRUSH CT, DAYTON OH 45404 United States",39.81866451108163,-84.14497449475047
C06 00410 0046,1,1,Residential Electrical Permit,0,2026-02-25,2026-02-25,"2061 BELLEFONTAINE AVE, DAYTON OH 45404-2110 United States",39.78334582217091,-84.16358037028563
C06 00501 0001,1,1,Residential Building Permit,300000,2026-06-11,2026-06-11,"537 W FAIRVIEW AVE, DAYTON OH 45405-3205 United States",39.7862550397136,-84.22138825672475
C06 00501 0132,1,1,Residential Building Permit,65000,2026-05-04,2026-05-04,"941 W THIRD ST, DAYTON OH 45402 United States",39.75662941925359,-84.21047540569595
C08 00103 0019,1,1,Residential Electrical Permit,0,2026-04-14,2026-04-14,"3 BELL ST, DAYTON OH 45403 United States",39.76374398298748,-84.16471699045928
C08 00108 0059,2,2,Commercial Electrical Permit,0,2026-04-16,2026-06-02,"2323 RIVERSIDE DR, APT/UNIT 3, DAYTON OH 45405-3430 United States",39.78783696970685,-84.20561053050018
C09 00406 0007,1,1,Residential Gas Permit,0,2026-02-23,2026-02-23,"1846 KIPLING DR, DAYTON OH 45406 United States",39.782629250675754,-84.24238647294172
C09 00507 0065,1,1,Residential Electrical Permit,0,2026-03-16,2026-03-16,"38 E SIEBENTHALER AVE, DAYTON OH 45405-2424 United States",39.798378575847096,-84.21646944605197
D14 00701 0035,1,1,Commercial Building Permit,0,2026-05-01,2026-05-01,"945 W THIRD ST, DAYTON OH 45402 United States",,
D14 00706 0048,4,3,Commercial Electrical Permit,0,2026-02-06,2026-04-20,"1 CHILDRENS PLZ, DAYTON OH 45404 United States",39.774028226896995,-84.16886982183259
D14 00804 0100,1,1,Residential Building Permit,6790,2026-06-01,2026-06-01,"867 OSMOND AVE, DAYTON OH 45402-5240 United States",39.76343000540198,-84.24946202272668
D14 00904 0028,2,2,Residential Building Permit,350000,2026-03-09,2026-05-12,"3609 WAYNE AVE, DAYTON OH 45420-2438 United States",39.73881352571029,-84.14463141639197
D14 00904 0053,1,1,Residential Electrical Permit,0,2026-03-10,2026-03-10,"1927 RICHARD ST, DAYTON OH 45403-2546 United States",39.75539329457533,-84.15819589091326
D14 00906 0019,2,2,Residential Electrical Permit,0,2026-02-11,2026-06-09,"101 WROE AVE, DAYTON OH 45406-5249 United States",39.77100465193756,-84.20922644646474
D14 00909 0018,3,3,Residential Building Permit,80000,2026-03-04,2026-04-16,"5121 Yalecrest RD, DAYTON OH 45449",39.78997105547659,-84.21402704844427
D14 00911 0042,1,1,Residential Electrical Permit,0,2026-04-17,2026-04-17,"740 LELAND AVE, DAYTON OH 45402-5306 United States",39.76275783310038,-84.24464557984827
D14 20516 0002,2,1,Residential Electrical Permit,0,2026-04-09,2026-05-18,"1647 ALWILDY AVE, DAYTON OH 45417-4611 United States",39.73389053088586,-84.21345897588489
D15 00711 0075,1,1,Residential Building Permit,12367,2026-05-04,2026-05-04,"1136 HALLER AVE, DAYTON OH 45417-4510 United States",39.73669247496013,-84.23109000650166
D15 00808 0003,2,2,Residential Electrical Permit,0,2026-01-16,2026-04-22,"603 ANNA ST, DAYTON OH 45402-5436 United States",39.764088131416955,-84.23662010649389
E20 01006 0208,1,1,Residential Mechanical Permit,0,2026-03-30,2026-03-30,"1707 W Second ST, DAYTON OH 45402",39.75555541827927,-84.2235328627552
E20 01006 0210,1,1,Commercial Mechanical Permit,0,2026-06-02,2026-06-02,"17 E Fourth ST, DAYTON OH 45402-2101",39.75845352805611,-84.19070706511039
E20 01007 0051,2,2,Commercial Electrical Permit,0,2026-04-17,2026-06-02,"320 GRAFTON AVE, APT/UNIT 1, DAYTON OH 45406-5459 United States",39.76859285094247,-84.20636827437573
E20 01008 0037,5,1,Commercial Electrical Permit,0,2026-04-28,2026-04-30,"444 W THIRD ST, DAYTON OH 45402-1421 United States",39.757621145508864,-84.20058764501195
E20 01008 0128,1,1,Commercial Electrical Permit,0,2026-03-06,2026-03-06,"1000 W THIRD ST, APT/UNIT 4, DAYTON OH 45402-6833 United States",39.75631073381917,-84.21044112147031
E20 01008 0183,1,1,Commercial Electrical Permit,0,2026-02-03,2026-02-03,"1431 ROSEMONT BLVD, APT/UNIT A, DAYTON OH 45410-3120 United States",39.74723092136431,-84.14178523862037
E20 01008 0199,2,2,Commercial Electrical Permit,0,2026-01-13,2026-01-21,"1141 BROWN ST, DAYTON OH 45409-2603 United States",39.74238388773345,-84.18259902372532
E20 01008 0220,2,2,Commercial Electrical Permit,0,2026-02-02,2026-03-17,"1610 WOODMAN DR, APT/UNIT B2, DAYTON OH 45432-3353 United States",39.7339784751937,-84.12140474877486
E20 01106 0012,1,1,Residential Mechanical Permit,0,2026-04-21,2026-04-21,"214 Fountain AVE, DAYTON OH 45405-3930",39.777792282420926,-84.21110468612883
E20 01106 0133,1,1,Commercial Electrical Permit,0,2026-03-12,2026-03-12,"601 S Edwin C Moses Blvd, Dayton OH 45417-3424",39.74810467277138,-84.19865868698791
E20 01106 0226,4,2,Commercial Electrical Permit,0,2026-02-06,2026-05-13,"704 ROCKFORD AVE, APT/UNIT 4, DAYTON OH 45405-4030 United States",39.77850485028296,-84.20611867446175
E20 01107 0028,1,1,Commercial Electrical Permit,0,2026-01-23,2026-01-23,"3361 SUCCESSFUL WAY, DAYTON OH 45414-4317 United States",39.818458223093316,-84.16438019475648
E20 01107 0064,4,3,Commercial Electrical Permit,0,2026-01-06,2026-04-22,"2801 Wayne AVE, DAYTON OH 45420-1836",39.73883031166576,-84.15375802175969
E20 01107 0166,1,1,Commercial Electrical Permit,0,2026-02-26,2026-02-26,"1570 WOODMAN DR, APT/UNIT 15, DAYTON OH 45432-3335 United States",39.73526582562707,-84.12123908622343
E20 01107 0190,2,2,Commercial Electrical Permit,0,2026-04-16,2026-06-02,"2323 RIVERSIDE DR, APT/UNIT 1, DAYTON OH 45405-3430 United States",39.78783696970685,-84.20561053050018
E20 01107 0194,2,2,Commercial Building Permit,0,2026-03-06,2026-03-13,"1101 N KEOWEE ST, DAYTON OHIO 45404",39.75037322593374,-84.21143462979518
E20 17001 0008,3,3,Commercial Electrical Permit,0,2026-03-30,2026-05-13,"704 ROCKFORD AVE, DAYTON OH 45405-4030 United States",39.77850485028296,-84.20611867446175
E20 17001 0009,2,1,Commercial Building Permit,0,2026-04-06,2026-05-20,"426 S James H McGee BLVD, DAYTON OH 45402",39.74939139138331,-84.22369700722017
E20 17001 0119,1,1,Residential Electrical Permit,0,2026-03-19,2026-03-19,"2109 RAVENWOOD AVE, DAYTON OH 45406-2907 United States",,
E20 17002 0030,1,1,Residential Electrical Permit,0,2026-03-04,2026-03-04,"768 Heck AVE, DAYTON OH 45417-4641",39.73701929565643,-84.20868119625882
E20 17002 0083,1,1,Residential Electrical Permit,0,2026-06-16,2026-06-16,"1648 PENCE, DAYTON OH",,
E20 17002 0104,1,1,Residential Mechanical Permit,0,2026-06-23,2026-06-23,"36 BURLINGTON AVE, DAYTON OH 45403-1120 United States",39.766472883458626,-84.16243035500285
E20 17002A0064,1,1,Commercial Gas Permit,0,2026-04-27,2026-04-27,"1309 SALEM AVE, APT/UNIT 1, DAYTON OH 45406-4937 United States",39.77683436040845,-84.2180132488343
E20 17003 0042,1,1,Residential Electrical Permit,0,2026-06-17,2026-06-17,"623 ROCKFORD AVE, DAYTON OH 45405-4020 United States",39.77740018049949,-84.20655426538347
E20 17003 0050,1,1,Residential Mechanical Permit,0,2026-03-24,2026-03-24,"978 IRVING AVE, UNIT 32, DAYTON OH 45419",39.73229984561359,-84.1656268531789
E20 17004 0084,1,1,Residential Electrical Permit,0,2026-01-13,2026-01-13,"11 PINEHURST AVE, DAYTON OH 45405-3026 United States",39.78813406794639,-84.21459401742631
E20 17004 0092,1,1,Residential Electrical Permit,0,2026-04-24,2026-04-24,"222 BURNS AVE, DAYTON OH 45402 United States",,
E20 17009 0004,1,1,Commercial Gas Permit,0,2026-03-31,2026-03-31,"2801 Wayne AVE, DAYTON OH 45420-1836",39.73883031166576,-84.15375802175969
E20 17101 0134,1,1,Residential Gas Permit,0,2026-03-09,2026-03-09,"1435 KINGSLEY AVE, DAYTON OH 45406-4222 United States",39.77340317966603,-84.24281978449658
E20 17101 0135,1,1,Residential Electrical Permit,0,2026-01-07,2026-01-07,"1405 KINGSLEY AVE, DAYTON OH 45406-4222 United States",39.772639848980056,-84.24281847079985
E20 17101A0100,1,1,Residential Gas Permit,0,2026-01-20,2026-01-20,"542 W HUDSON AVE, DAYTON OH 45406-4843 United States",39.78102449300587,-84.22267896577155
E20 17101A0135,1,1,Residential Electrical Permit,0,2026-05-07,2026-05-07,"4108 MERRYFIELD AVE, DAYTON OH 45416-1220 United States",39.799186443218495,-84.25640828023694
E20 17102 0180,1,1,Residential Mechanical Permit,0,2026-04-20,2026-04-20,"4513 CARDINAL FLOWER, DAYTON OHIO 45404",,
E20 17102B0022,1,1,Residential Electrical Permit,0,2026-02-18,2026-02-18,"2210 Rustic RD, DAYTON OH 45405-3238",39.78762688544399,-84.22146134611253
E20 17105A0090,1,1,Residential Mechanical Permit,0,2026-05-22,2026-05-22,"808 OLYMPIAN CIR, DAYTON OH 45417-8836 United States",39.73462928691914,-84.27294809720493
E20 17309 0002,1,1,Commercial Electrical Permit,0,2026-02-02,2026-02-02,"1917 W GRAND AVE, DAYTON OH 45402-5728 United States",39.767021450694095,-84.22859499457502
E20 17310 0046,1,1,Commercial Building Permit,0,2026-04-27,2026-04-27,"520 E THIRD ST, DAYTON OH 45402-5101 United States",39.76054871151604,-84.1840466050636
E20 17312 0095,1,1,Residential Mechanical Permit,0,2026-03-24,2026-03-24,"1728 SALEM AVE, DAYTON OH 45406 United States",39.780044390167696,-84.22248394870216
E20 17416 0002,1,1,Residential Building Permit,5,2026-06-24,2026-06-24,"2654 N GETTYSBURG AVE, DAYTON OH 45406-1710 United States",39.79412457157825,-84.25356827765926
E20 17506 0025,1,1,Residential Mechanical Permit,0,2026-04-21,2026-04-21,"212 Fountain AVE, 214, DAYTON OH 45405-3930",39.777852730218626,-84.21110261456062
E20 17506 0041,1,1,Residential Gas Permit,0,2026-01-14,2026-01-14,"1027 SUPERIOR AVE, DAYTON OH 45402-6253 United States",39.765715610622934,-84.21863927977515
E20 17507 0048,1,1,Residential Mechanical Permit,0,2026-06-02,2026-06-02,"5303 KITRIDGE RD, DAYTON OH 45424",39.825054391956805,-84.10785531903572
E20 17507 0102,1,1,Residential Mechanical Permit,0,2026-02-09,2026-02-09,"1145 PURSELL AVE, DAYTON OH 45420-1942 United States",39.74388760811067,-84.15068399310438
E20 17516 0011,1,1,Residential Mechanical Permit,0,2026-03-16,2026-03-16,"1720 W First St, Dayton OH 45402",39.7560866060584,-84.22414572899646
E20 17612 0007,1,1,Residential Mechanical Permit,0,2026-01-02,2026-01-02,"421 S SMITHVILLE RD, DAYTON OH 45403-3151 United States",39.75886739286687,-84.1386625521967
E20 17702 0024,2,1,Residential Mechanical Permit,0,2026-06-18,2026-06-22,"2323 LAKEVIEW AVE, DAYTON OH 45417-3635 United States",39.742716629666695,-84.23277623161613
E20 18003 0057,1,1,Residential Mechanical Permit,0,2026-03-12,2026-03-12,"136 ASHWOOD AVE, DAYTON OH 45405-2642 United States",39.797553471586696,-84.21281471120817
E20 18010 0003,1,1,Residential Mechanical Permit,0,2026-02-05,2026-02-05,"4418 WATER WILLOW DR, DAYTON OHIO 45404",,
E20 18016 0009,1,1,Residential Mechanical Permit,0,2026-04-24,2026-04-24,"1769 KING AVE, DAYTON OH 45420-2444 United States",39.74148626742534,-84.1472838005829
E20 18108 0010,1,1,Residential Electrical Permit,0,2026-05-15,2026-05-15,"115 VICTOR AVE, DAYTON OH 45405-3746 United States",39.77918143055458,-84.21112102415002
E20 19009 0008,1,1,Residential Mechanical Permit,0,2026-03-27,2026-03-27,"1320 W First ST, DAYTON OH 45402-6633",39.7575776617895,-84.2152175848645
E20 19201 0007,1,1,Residential Mechanical Permit,0,2026-04-28,2026-04-28,"1720 LEO, DAYTON OH",,
E20 24108 0001,3,3,Commercial Building Permit,0,2026-02-27,2026-04-10,"4909 HOOVER AVE, DAYTON OH 45417 United States",39.761561157789686,-84.2706749233242
E20 24114 0007,1,1,Residential Electrical Permit,0,2026-01-21,2026-01-21,"203 ALASKA ST, DAYTON OH 45404-1942 United States",39.77804386132942,-84.1687774633834
E20 24114 0013,1,1,Residential Mechanical Permit,0,2026-02-09,2026-02-09,"2520 BRIDGEPORT DR, DAYTON OH 45406-1432 United States",39.79411232998774,-84.25987188237902
E20 24122 0005,1,1,Commercial Mechanical Permit,0,2026-01-14,2026-01-14,"424 GUNCKEL AVE, DAYTON OH 45410-2012 United States",39.74305598460502,-84.16452585207739
E20 24218 0012,2,2,Residential Electrical Permit,0,2026-02-24,2026-06-08,"1818 MALVERN AVE, DAYTON OH 45406-4447 United States",39.78156581838307,-84.22879579193722
E20 24401 0011,1,1,Residential Mechanical Permit,0,2026-04-29,2026-04-29,"506 BURKHARDT AVE, DAYTON OH 45403-2708 United States",39.76071776703882,-84.14748224649992
E20 24402 0003,1,1,Residential Building Permit,33719,2026-05-13,2026-05-13,"911 BURLEIGH AVE, DAYTON OH 45402-5208 United States",39.7639885255024,-84.24644822327815
E20 24424 0001,1,1,Commercial Electrical Permit,0,2026-01-22,2026-01-22,"445 SALEM AVE, DAYTON OH 45406 United States",39.76753992988016,-84.20934169887232
E21 01003 0037,2,1,Commercial Electrical Permit,0,2026-01-20,2026-02-03,"1431 ROSEMONT BLVD, APT/UNIT E, DAYTON OH 45410-3120 United States",39.74723092136431,-84.14178523862037
