name,theme,publisher,bucket,prune_status,prune_reason,geo_flag,scratchpad_flag,records,fields,updated
D-Hive Census Housing and Population Change,demographics,MVRPC (regional),Medium-value / supporting,kept,,ok,ok,,0,2021-08-18
Housing - Block Group,demographics,MVRPC (regional),Medium-value / supporting,kept,,ok,ok,,0,2022-05-23
Housing - Census Tract,demographics,MVRPC (regional),Medium-value / supporting,kept,,ok,ok,,0,2022-05-23
"Housing Data, ACS 2015",demographics,MVRPC (regional),Medium-value / supporting,kept,,ok,ok,,0,2019-07-09
HousingInsecurityTractUpdated,demographics,MVRPC (regional),Medium-value / supporting,kept,,ok,ok,,0,2025-02-19
HS_CensusTracts,demographics,MVRPC (regional),Medium-value / supporting,kept,,ok,ok,,0,2025-11-25
LandBankRevised_BlockGroup,demographics,MVRPC (regional),Medium-value / supporting,kept,,ok,ok,,0,2018-01-25
NIP_blockgroups,demographics,MVRPC (regional),Medium-value / supporting,kept,,ok,ok,,0,2016-05-12
Tracts_HousingAge,demographics,MVRPC (regional),Medium-value / supporting,kept,,ok,ok,,0,2026-03-23
AddressEdits/BaseAddresses,geography/reference,City of Dayton,Lower-value / context,kept,,no-extent-data,ok,1047380,142,
AddressEdits/BaseAddresses,geography/reference,City of Dayton,Lower-value / context,kept,,no-extent-data,ok,1047380,142,
Basemaps/Dayton_Used_Address,geography/reference,City of Dayton,Lower-value / context,kept,,no-extent-data,ok,163184,47,2018-11-09
Dayton Used Address,geography/reference,City of Dayton,Lower-value / context,kept,,ok,ok,163184,47,2018-11-09
Rhythm/RhythmAddress,geography/reference,City of Dayton,Lower-value / context,kept,,no-extent-data,ok,163184,47,
AddressEdits/UsedAddressEditor,geography/reference,City of Dayton,Lower-value / context,kept,,no-extent-data,ok,163032,50,
AddressEdits/UsedAddressEditor,geography/reference,City of Dayton,Lower-value / context,kept,,no-extent-data,ok,163032,50,
AddressTest,geography/reference,City of Dayton,Lower-value / context,kept,,no-extent-data,ok,160873,43,
AddressTest,geography/reference,City of Dayton,Lower-value / context,kept,,no-extent-data,ok,160873,43,
Base/Dayton_Neighborhoods,geography/reference,City of Dayton,Lower-value / context,kept,,no-extent-data,false-positive (small-by-design or pipeline gap),97,54,
Base/Neighborhoods,geography/reference,City of Dayton,Lower-value / context,kept,,no-extent-data,false-positive (small-by-design or pipeline gap),97,27,
Dayton Neighborhoods,geography/reference,City of Dayton,Lower-value / context,kept,,ok,false-positive (small-by-design or pipeline gap),97,54,2018-11-09
DAYTON_NEIGHBORHOODS,geography/reference,City of Dayton,Lower-value / context,kept,,ok,false-positive (small-by-design or pipeline gap),97,54,2018-11-09
PublicWorks/COD_Neighborhoods,geography/reference,City of Dayton,Lower-value / context,kept,,no-extent-data,false-positive (small-by-design or pipeline gap),97,27,
Issue_9_Neighborhood_Boundary,geography/reference,City of Dayton,Lower-value / context,kept,,ok,false-positive (small-by-design or pipeline gap),67,7,2022-06-22
Dayton Neighborhood Boundary,geography/reference,City of Dayton,Lower-value / context,kept,,ok,ok,66,6,2025-11-17
Neighborhood,geography/reference,City of Dayton,Lower-value / context,kept,,ok,false-positive (small-by-design or pipeline gap),66,20,2023-10-16
EastNeighborhoodBoundaries,geography/reference,MVRPC (regional),Lower-value / context,kept,,ok,false-positive (small-by-design or pipeline gap),66,20,2023-10-16
Seibert Riverview Curtis Neighborhood Survey (Summer 2020)_fieldworker,geography/reference,MVRPC (regional),Lower-value / context,kept,,no-extent-data,FLAGGED,66,20,2023-10-16
MC Neighborhood Codes,geography/reference,Montgomery County Auditor/Treasurer,Lower-value / context,kept,,no-extent-data,false-positive (small-by-design or pipeline gap),66,20,2023-10-16
Neighborhood_Profile,geography/reference,City of Dayton,Lower-value / context,kept,,ok,false-positive (small-by-design or pipeline gap),65,15,2021-08-03
DaytonNeighborhoods,geography/reference,MVRPC (regional),Lower-value / context,kept,,ok,ok,65,33,2024-12-11
COVID19/AddressSearch,geography/reference,City of Dayton,Lower-value / context,kept,,no-extent-data,FLAGGED,7,48,
City_of_Dayton_Vehicle_Parking_Locations,geography/reference,City of Dayton,Lower-value / context,kept,,ok,ok,,0,2022-10-25
FireStations_GC_8_24_2021,geography/reference,City of Dayton,Lower-value / context,kept,,ok,ok,,0,2021-09-14
CastlewoodBoundaries,geography/reference,MVRPC (regional),Lower-value / context,kept,,ok,ok,,0,2020-12-16
Jurisdiction Boundaries-lines_Housing,geography/reference,MVRPC (regional),Lower-value / context,kept,,ok,ok,,0,2026-03-11
Street Lists (voter address ranges by precinct),geography/reference,Montgomery County Board of Elections,Lower-value / context,kept,,no-extent-data,ok,,0,
HousingProjects_ProgramType,investment/projects,City of Dayton,Tier 2 (backbone),kept,,ok,ok,376,56,2025-11-14
ARPA Focus Neighborhoods,investment/projects,City of Dayton,"High-value, good data — promotion candidate",kept,,ok,false-positive (small-by-design or pipeline gap),6,20,2022-09-27
Public Housing Developments + Authorities (GDPM),investment/projects,HUD,"High-value, UNPROFILED — needs a pass",kept,,no-extent-data,ok,,0,
DaytonParcels,ownership/transfers,City of Dayton,"High-value, good data — promotion candidate",kept,,ok,ok,88668,57,2026-06-16
City_of_Dayton_Owned_Parcel,ownership/transfers,City of Dayton,"High-value, good data — promotion candidate",kept,,ok,ok,1926,20,2021-07-30
Nusance_Parcels_Feb_2021,ownership/transfers,City of Dayton,"High-value, good data — promotion candidate",kept,,ok,ok,1031,15,2021-11-30
LIHTC Properties (Montgomery County OH),ownership/transfers,HUD,Tier 1 (backbone),kept,,no-extent-data,ok,120,0,
Multifamily Properties - Assisted (project-based Section 8),ownership/transfers,HUD,Tier 1 (backbone),kept,,no-extent-data,false-positive (small-by-design or pipeline gap),83,0,
Public housing & HCV inventory,ownership/transfers,Greater Dayton Premier Management,"High-value, UNPROFILED — needs a pass",kept,,no-extent-data,ok,,0,
Aggregation_of_TornadoCases_and_Damaged_by_hexagon_bins,ownership/transfers,MVRPC (regional),"High-value, weak data — FIX-IT candidate",kept,,ok,ok,,0,2020-04-08
D-Hive Census and Housing Demographics,ownership/transfers,MVRPC (regional),"High-value, weak data — FIX-IT candidate",kept,,ok,ok,,0,2020-07-16
Deeds_Point_Information,ownership/transfers,MVRPC (regional),"High-value, weak data — FIX-IT candidate",kept,,ok,ok,,0,2019-04-05
Flood Hazard,ownership/transfers,MVRPC (regional),"High-value, good data — promotion candidate",kept,,ok,ok,,0,2025-01-07
MontgomeryTableProperty,ownership/transfers,MVRPC (regional),"High-value, weak data — FIX-IT candidate",kept,,no-extent-data,ok,,0,2022-02-09
MotCoLandBank_parcels,ownership/transfers,MVRPC (regional),"High-value, weak data — FIX-IT candidate",kept,,ok,ok,,0,2018-03-16
SiebertProjectTNIParcels,ownership/transfers,MVRPC (regional),"High-value, weak data — FIX-IT candidate",kept,,ok,ok,,0,2020-08-03
TotalTableProperty,ownership/transfers,MVRPC (regional),"High-value, weak data — FIX-IT candidate",kept,,no-extent-data,ok,,0,2022-02-09
Local Homelessness Data (CoC),ownership/transfers,Montgomery County,"High-value, UNPROFILED — needs a pass",kept,,no-extent-data,ok,,0,
Conveyance (deed transfer) form search,ownership/transfers,Montgomery County Auditor,"High-value, UNPROFILED — needs a pass",kept,,no-extent-data,ok,,0,
Property record search (CAMA front end),ownership/transfers,Montgomery County Auditor,"High-value, UNPROFILED — needs a pass",kept,,no-extent-data,ok,,0,
TestData/mc_parcel_polygon,ownership/transfers,Montgomery County Auditor,"High-value, UNPROFILED — needs a pass",kept,,no-extent-data,ok,,0,
TestData/mc_parcel_polygon,ownership/transfers,Montgomery County Auditor,"High-value, UNPROFILED — needs a pass",kept,,no-extent-data,ok,,0,
MC Monthly Sales,ownership/transfers,Montgomery County Auditor/Treasurer,Tier 1 (backbone),kept,,no-extent-data,ok,,23,2026-07-31
MC Weekly Sales,ownership/transfers,Montgomery County Auditor/Treasurer,Tier 1 (backbone),kept,,no-extent-data,ok,,23,2026-07-25
MC Yearly Sales,ownership/transfers,Montgomery County Auditor/Treasurer,Tier 1 (backbone),kept,,no-extent-data,ok,,23,2026-08-01
Map of Multifamily Rental Properties,ownership/transfers,Ohio Housing Finance Agency,"High-value, UNPROFILED — needs a pass",kept,,no-extent-data,ok,,0,
Qualified Contract Listing,ownership/transfers,Ohio Housing Finance Agency,"High-value, UNPROFILED — needs a pass",kept,,no-extent-data,ok,,0,
Police/CrimeVictimDashboard,public safety,City of Dayton,Lower-value / context,kept,,no-extent-data,FLAGGED,35,35,
MC Taxroll,tax/delinquency,Montgomery County Auditor/Treasurer,Tier 1 (backbone),kept,,no-extent-data,ok,254693,82,2026-07-31
Qualified Opportunity Zones_Montgomery County OH,tax/delinquency,City of Dayton,"High-value, weak data — FIX-IT candidate",kept,,ok,ok,,0,2022-12-07
tax_district,tax/delinquency,MVRPC (regional),"High-value, weak data — FIX-IT candidate",kept,,ok,ok,,0,2020-05-15
Residential Rental Property Registration roster,tax/delinquency,Montgomery County Auditor,"High-value, UNPROFILED — needs a pass",kept,,no-extent-data,ok,,0,
MC Available Tax Refunds,tax/delinquency,Montgomery County Auditor/Treasurer,"High-value, weak data — FIX-IT candidate",kept,,no-extent-data,ok,,0,07/31/2026
MC Delinquent Files,tax/delinquency,Montgomery County Auditor/Treasurer,Tier 1 (backbone),kept,,no-extent-data,ok,,0,2026-07-31
"Deeds, mortgages, liens",tax/delinquency,Montgomery County Recorder,"High-value, UNPROFILED — needs a pass",kept,,no-extent-data,ok,,0,
Issue_9_Vacant_Mowing_2020,vacancy,City of Dayton,"High-value, good data — promotion candidate",kept,,ok,ok,7640,29,2020-08-06
Issue_9_Vacant_Mowing_2021,vacancy,City of Dayton,"High-value, good data — promotion candidate",kept,,ok,ok,7640,29,2022-06-13
Issue_9_Vacant_Mowing,vacancy,City of Dayton,"High-value, good data — promotion candidate",kept,,ok,ok,7457,14,2017-10-25
Issue_9_Vacant_Mowing_2018,vacancy,City of Dayton,"High-value, good data — promotion candidate",kept,,ok,ok,6027,15,2018-10-22
Issue_9_Vacant_Mowing_2019,vacancy,City of Dayton,"High-value, good data — promotion candidate",kept,,ok,ok,5182,15,2020-08-06
Building permits & trade licences (49 record types),vacancy,City of Dayton,"High-value, UNPROFILED — needs a pass",kept,,no-extent-data,ok,,0,
Vacant Property Registration,vacancy,City of Dayton,"High-value, UNPROFILED — needs a pass",kept,,no-extent-data,ok,,0,
VacancyRevised_Res_Bus_090916,vacancy,MVRPC (regional),"High-value, weak data — FIX-IT candidate",kept,,ok,ok,,0,2016-09-09
Plan & Build Guidebook / Zoning,zoning/land use,City of Dayton,Medium-value / supporting,kept,,no-extent-data,ok,970,29,2025-11-26
Zoning,zoning/land use,City of Dayton,Medium-value / supporting,kept,,ok,ok,970,29,2025-11-26
ClaytonZoning,zoning/land use,MVRPC (regional),Medium-value / supporting,kept,,ok,ok,970,29,2025-11-26
HarrisonTwpZoning,zoning/land use,MVRPC (regional),Medium-value / supporting,kept,,ok,ok,970,29,2025-11-26
"Regional Zoning, 2015",zoning/land use,MVRPC (regional),Medium-value / supporting,kept,,ok,ok,970,29,2025-11-26
Riverside Zoning 2026,zoning/land use,MVRPC (regional),Medium-value / supporting,kept,,ok,ok,970,29,2025-11-26
"Riverside zoning, 2021",zoning/land use,MVRPC (regional),Medium-value / supporting,kept,,ok,ok,970,29,2025-11-26
RiversideZoning,zoning/land use,MVRPC (regional),Medium-value / supporting,kept,,ok,ok,970,29,2025-11-26
"Trotwood Zoning, Jan20",zoning/land use,MVRPC (regional),Medium-value / supporting,kept,,ok,ok,970,29,2025-11-26
Planning_Districts_Neighborhood,zoning/land use,City of Dayton,Medium-value / supporting,kept,,ok,false-positive (small-by-design or pipeline gap),65,21,2023-06-02
COD_Webpage/Zoning,zoning/land use,City of Dayton,Medium-value / supporting,kept,,no-extent-data,FLAGGED,4,80,
Planning cases,zoning/land use,City of Dayton,Medium-value / supporting,kept,,no-extent-data,ok,,0,
Succession Planning Workforce Assessment Form_form,zoning/land use,City of Dayton,Medium-value / supporting,kept,,no-extent-data,ok,,0,2026-06-26
Succession Planning Workforce Assessment Form_results,zoning/land use,City of Dayton,Medium-value / supporting,kept,,no-extent-data,ok,,0,2026-06-26
ALI_Analysis,zoning/land use,MVRPC (regional),Medium-value / supporting,kept,,ok,ok,,0,2022-07-21
BEA_Hexes,zoning/land use,MVRPC (regional),Medium-value / supporting,kept,,ok,ok,,0,2022-10-03
Block_Groups_Overall,zoning/land use,MVRPC (regional),Medium-value / supporting,kept,,ok,ok,,0,2022-10-19
Census_Tracts_Overall,zoning/land use,MVRPC (regional),Medium-value / supporting,kept,,ok,ok,,0,2022-10-03
PLAN4Health Wright-Patterson Air Force Base,zoning/land use,MVRPC (regional),Medium-value / supporting,kept,,ok,ok,,0,2022-09-02
Riverside Districts,zoning/land use,MVRPC (regional),Medium-value / supporting,kept,,ok,ok,,0,2026-03-18
Concord Twp Zoning_V,affordability/tenure,MVRPC (regional),"High-value, good data — promotion candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,970,29,2025-11-26
Monroe Twp Zoning_V,affordability/tenure,MVRPC (regional),"High-value, good data — promotion candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,970,29,2025-11-26
Newberry Twp Zoning_V,affordability/tenure,MVRPC (regional),"High-value, good data — promotion candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,970,29,2025-11-26
Newton Twp Zoning_V,affordability/tenure,MVRPC (regional),"High-value, good data — promotion candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,970,29,2025-11-26
Springcreek Twp Zoning_V,affordability/tenure,MVRPC (regional),"High-value, good data — promotion candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,970,29,2025-11-26
Staunton Twp Zoning_V,affordability/tenure,MVRPC (regional),"High-value, good data — promotion candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,970,29,2025-11-26
Union Twp Zoning_V,affordability/tenure,MVRPC (regional),"High-value, good data — promotion candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,970,29,2025-11-26
Washington Twp Zoning_V,affordability/tenure,MVRPC (regional),"High-value, good data — promotion candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,970,29,2025-11-26
EnvironmentalEquityInAlleghenyCounty_BDA_WFL1,affordability/tenure,City of Dayton,"High-value, good data — promotion candidate",removed,noise/off-topic/wrong-geography,not-checked,,,0,2024-08-01
GMR Bike Rental,affordability/tenure,MVRPC (regional),"High-value, weak data — FIX-IT candidate",removed,noise/off-topic/wrong-geography,not-checked,,,0,2020-02-12
PLAN4Health Census Tracts,affordability/tenure,MVRPC (regional),"High-value, weak data — FIX-IT candidate",removed,noise/off-topic/wrong-geography,not-checked,,,0,2022-02-16
PLAN4Health County Boundaries,affordability/tenure,MVRPC (regional),"High-value, weak data — FIX-IT candidate",removed,noise/off-topic/wrong-geography,not-checked,,,0,2022-09-02
PLAN4Health Highway Shields,affordability/tenure,MVRPC (regional),"High-value, weak data — FIX-IT candidate",removed,noise/off-topic/wrong-geography,not-checked,,,0,2022-02-16
PLAN4Health Miami Valley Jurisdiction Boundaries,affordability/tenure,MVRPC (regional),"High-value, weak data — FIX-IT candidate",removed,noise/off-topic/wrong-geography,not-checked,,,0,2022-09-02
PLAN4Health Precincts,affordability/tenure,MVRPC (regional),"High-value, weak data — FIX-IT candidate",removed,noise/off-topic/wrong-geography,not-checked,,,0,2022-02-18
Regional Bikeway in Miami Valley,affordability/tenure,MVRPC (regional),"High-value, weak data — FIX-IT candidate",removed,noise/off-topic/wrong-geography,not-checked,,,0,2020-12-03
Water/WST_ConditionAssessment,condition/quality,City of Dayton,"High-value, good data — promotion candidate",removed,noise/off-topic/wrong-geography,not-checked,,2553,177,
Water/WST_ConditionAssessment,condition/quality,City of Dayton,"High-value, good data — promotion candidate",removed,noise/off-topic/wrong-geography,not-checked,,2553,177,
Water/Storm_Outfall_Inspections,condition/quality,City of Dayton,"High-value, good data — promotion candidate",removed,noise/off-topic/wrong-geography,not-checked,,536,16,
Water/Storm_Outfall_Inspections,condition/quality,City of Dayton,"High-value, good data — promotion candidate",removed,noise/off-topic/wrong-geography,not-checked,,536,16,
Water/Storm_Outfall_Inspections_Desktop,condition/quality,City of Dayton,"High-value, good data — promotion candidate",removed,noise/off-topic/wrong-geography,not-checked,,536,15,
Environmental/StormOutfallSamplingReferenceData,condition/quality,City of Dayton,"High-value, good data — promotion candidate",removed,noise/off-topic/wrong-geography,not-checked,,422,513,
Environmental/StormOutfallSamplingVisualInspectionReferenceLayers,condition/quality,City of Dayton,"High-value, good data — promotion candidate",removed,noise (infra condition mistagged as housing; caught in freshness pass),no-extent-data,,92,305,
Water/Lift_Station_Condition_Assessment,condition/quality,City of Dayton,"High-value, good data — promotion candidate",removed,noise/off-topic/wrong-geography,not-checked,,15,55,
