name,publisher,source_owner,theme,geography,granularity,access,cadence,formats,key_fields,records,updated,housing_relevant,queryable,capabilities,priority,current_use_state,desired_use_state,url,item_page,notes
AdaptDayton Email_form,City of Dayton,Cameron.Goschinski (City of Dayton GIS / PND),,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2026-01-14,,N,"Create,Editing",,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/survey123_caff0e6077df419ab2716dbf17853639_form/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=af07d89df43b4e83bf441ec84b8a6ae6,
AdaptDayton Email_results,City of Dayton,Cameron.Goschinski (City of Dayton GIS / PND),,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2026-01-14,,Y,"Query,Extract",,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/survey123_caff0e6077df419ab2716dbf17853639_results/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=ff6f8e034dfd447787d3ed7434b2d54f,
AdaptDayton Feedback,City of Dayton,Cameron.Goschinski (City of Dayton GIS / PND),,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2026-01-14,,Y,"Create,Delete,Query,Update,Editing,Extract,Sync",,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/survey123_d0af85021a114611984ad9c0c0917d16/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=7d80b8be72bf4491a3021c000dca3bd8,
AdaptDayton Feedback_form,City of Dayton,Cameron.Goschinski (City of Dayton GIS / PND),,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2026-01-14,,N,"Create,Editing",,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/survey123_d0af85021a114611984ad9c0c0917d16_form/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=d58bb171c19f428cb746450078614774,
AdaptDayton Feedback_results,City of Dayton,Cameron.Goschinski (City of Dayton GIS / PND),,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2026-01-14,,Y,"Query,Extract",,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/survey123_d0af85021a114611984ad9c0c0917d16_results/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=54d12ea34750432db515d5e3fd073448,
Address -> Parcel Bridge (code enforcement join),City of Dayton,Code for Dayton data team,condition/quality,Montgomery County,parcel,Built from public REST layers; scripts/build_address_bridge.py,,Derived lookup,,,,Y,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/Basemaps/Dayton_Used_Address/MapServer/0,,Accela.ADDRKEY -> UsedAddress.ADDRKEY -> TAXPINNO. 99.97% match. Validated: complaint rate rises monotonically with HCS grade (2.5% vacant lot -> 53% dilapidated). See dictionaries/address-parcel-bridge.md
AddressEdits/BaseAddresses,City of Dayton,City of Dayton GIS,geography/reference,City of Dayton,address/point,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS FeatureServer,,1 layers,,Y,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/AddressEdits/BaseAddresses/FeatureServer,https://maps.daytonohio.gov/gisservices/rest/services,
AddressEdits/BaseAddresses,City of Dayton,City of Dayton GIS,geography/reference,City of Dayton,address/point,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS MapServer,,1 layers,,Y,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/AddressEdits/BaseAddresses/MapServer,https://maps.daytonohio.gov/gisservices/rest/services,
AddressEdits/UsedAddressEditor,City of Dayton,City of Dayton GIS,geography/reference,City of Dayton,address/point,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS FeatureServer,,1 layers,,Y,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/AddressEdits/UsedAddressEditor/FeatureServer,https://maps.daytonohio.gov/gisservices/rest/services,
AddressEdits/UsedAddressEditor,City of Dayton,City of Dayton GIS,geography/reference,City of Dayton,address/point,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS MapServer,,1 layers,,Y,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/AddressEdits/UsedAddressEditor/MapServer,https://maps.daytonohio.gov/gisservices/rest/services,
AddressTest,City of Dayton,City of Dayton GIS,geography/reference,City of Dayton,address/point,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS FeatureServer,,1 layers,,Y,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/AddressTest/FeatureServer,https://maps.daytonohio.gov/gisservices/rest/services,
AddressTest,City of Dayton,City of Dayton GIS,geography/reference,City of Dayton,address/point,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS MapServer,,1 layers,,Y,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/AddressTest/MapServer,https://maps.daytonohio.gov/gisservices/rest/services,
Airport/Aviation,City of Dayton,City of Dayton GIS,,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS MapServer,,71 layers,,,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/Airport/Aviation/MapServer,https://maps.daytonohio.gov/gisservices/rest/services,
All_CRAs,City of Dayton,Cameron.Goschinski (City of Dayton GIS / PND),,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2026-06-29,,Y,Query,,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/All_CRAs/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=78926cb0a01048d3a4fa174e9ca71607,
Alley_Pavement_Inspection,City of Dayton,Richard.Bailey@DaytonOhio.gov (City of Dayton GIS / PND),condition/quality,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,0,2024-02-13,,N,Error invoking service,,,,https://utility.arcgis.com/usrsvcs/servers/0c4e1efbc09c477b80e9ef53118538a0/rest/services/PublicWorks/Alley_Pavement_Inspection/MapServer/0,https://daytonohio.maps.arcgis.com/home/item.html?id=0c4e1efbc09c477b80e9ef53118538a0,
Alleys,City of Dayton,Frank.Boateng_DaytonOhio (City of Dayton GIS / PND),,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2020-03-08,,Y,"Create,Delete,Query,Update,Editing,Sync",,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/Alleys/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=bdea656ed18845e9be43f85d413fb593,
Apex_Dayton City Fiber Layout Map_WFL1,City of Dayton,Richard.Bailey@DaytonOhio.gov (City of Dayton GIS / PND),,City of Dayton,jurisdiction/county,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2025-06-05,,Y,Query,,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/Apex_Dayton_City_Fiber_Layout_Map_WFL1/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=c888b97448644245a2a289f3b3ac1c9d,Converted KML file from Apex
ARPA Category Amounts Table,City of Dayton,Richard.Bailey@DaytonOhio.gov (City of Dayton GIS / PND),investment/projects,City of Dayton,jurisdiction/county,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2022-11-14,,Y,Query,,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/ARPA_Category_Amounts_Table/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=4e63dc6718394cc2b5e1b2bd14d7946b,Table for dashboards to display ARPA categories (buckets) and dollar amounts
ARPA Curb and Sidewalk Repair_Carillon,City of Dayton,Richard.Bailey@DaytonOhio.gov (City of Dayton GIS / PND),condition/quality,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2025-09-18,,Y,Query,,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/ARPA_Curb_and_Sidewalk_Repair_Carillon/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=39285f9a838146218eab43289be2c948,
ARPA Curb and Sidewalk Repairs,City of Dayton,Richard.Bailey@DaytonOhio.gov (City of Dayton GIS / PND),condition/quality,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2025-09-18,,Y,Query,,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/ARPA_Curb_and_Sidewalk_Repairs/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=9f520558f5af46dd9da48be25c97b960,
ARPA Focus Neighborhoods,City of Dayton,Richard.Bailey@DaytonOhio.gov (City of Dayton GIS / PND),investment/projects,City of Dayton,neighborhood,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,6,2022-09-27,Y,Y,Query,,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/ARPA_Focus_Neighborhoods/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=dfc8a12b997c48e68c47647acaf6a850,ARPA Focus Neighborhoods
ARPA Nuisance Parcel Points,City of Dayton,Richard.Bailey@DaytonOhio.gov (City of Dayton GIS / PND),code enforcement,City of Dayton,parcel,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,1259,2022-09-27,Y,Y,Query,,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/ARPA_Nuisance_Parcel_Points/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=89b165a2e4eb4aeb94e835700d55a3fc,ARPA Nuisance Parcel Points as of 09/22/2022
ARPA_Community_Application_Points,City of Dayton,Richard.Bailey@DaytonOhio.gov (City of Dayton GIS / PND),investment/projects,City of Dayton,address/point,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2021-11-23,,Y,Query,,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/ARPA_Community_Application_Points/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=64a0382d6bea41f9ba4927f1dd468533,ARPA Dayton Community Project Application Locations
ARPA_Community_Application_Points_Ranked,City of Dayton,Richard.Bailey@DaytonOhio.gov (City of Dayton GIS / PND),investment/projects,City of Dayton,address/point,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2021-11-24,,Y,Query,,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/ARPA_Community_Application_Points_Ranked/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=736a6b6854254ac3bb9df69218e9cb3a,ARPA Dayton Community Locations
ARPA_Community_Project_Points,City of Dayton,Richard.Bailey@DaytonOhio.gov (City of Dayton GIS / PND),investment/projects,City of Dayton,address/point,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2021-11-15,,Y,Query,,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/ARPA_Community_Project_Points/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=16777cabe7fe4888a005eeb5349963f8,ARPA Dayton Community Project Locations
ARPA_Internal_City_Application_Points,City of Dayton,Richard.Bailey@DaytonOhio.gov (City of Dayton GIS / PND),investment/projects,City of Dayton,address/point,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2021-11-23,,Y,Query,,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/ARPA_Internal_City_Application_Points/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=fd0ee1d87c7e454588e75d5014d7c1bc,ARPA Dayton Community Project Locations
ARPA_Internal_Project_Points_Ranked,City of Dayton,Richard.Bailey@DaytonOhio.gov (City of Dayton GIS / PND),investment/projects,City of Dayton,address/point,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2021-11-24,,Y,Query,,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/ARPA_Internal_Project_Points_Ranked/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=ba515390f2b140a2ab9018e7b5f48032,ARPA Dayton Internal Project Locations
ARPA_Small_Business_Application_Points_Ranked,City of Dayton,Richard.Bailey@DaytonOhio.gov (City of Dayton GIS / PND),investment/projects,City of Dayton,address/point,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2021-11-24,,Y,Query,,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/ARPA_Small_Business_Application_Points_Ranked/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=6403b5de1bd047408f3570d1453d6495,ARPA Dayton Small Business Project Locations
ARPA_Targeted_Geography,City of Dayton,Richard.Bailey@DaytonOhio.gov (City of Dayton GIS / PND),investment/projects,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2022-09-26,,Y,Query,,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/ARPA_Targeted_Geography/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=c11ea7fea7d64a728b7c3e2d5f63476e,ARPA Targeted Areas
Arrest Dashboard,City of Dayton,Matthew.Muhlenkamp (City of Dayton GIS / PND),public safety,City of Dayton,address/point,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2020-09-15,,N,"Map,Query,Data",,,,https://maps.daytonohio.gov/gisservices/rest/services/Police/ArrestDashboard/MapServer,https://daytonohio.maps.arcgis.com/home/item.html?id=3272e50446344452a375c58609aeb337,
Arrests OpenData,City of Dayton,Richard.Bailey@DaytonOhio.gov (City of Dayton GIS / PND),public safety,City of Dayton,address/point,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2020-10-14,,Y,"Map,Query,Data",,,,https://maps.daytonohio.gov/gisservices/rest/services/OpenData/Arrests_OpenData/MapServer,https://daytonohio.maps.arcgis.com/home/item.html?id=eb2df5e5856c4428ab4e235c21badae4,Dayton Police Arrest Data for Transparency Dashboards
Arrests_Greater2016,City of Dayton,GIS-Scripts (City of Dayton GIS / PND),public safety,City of Dayton,address/point,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2026-08-01,,Y,"Query,Extract",,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/Arrests_Greater2016/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=79b6331e145b4bbbafe16c5d2e5ef509,
